"regions","mass murder","intentional homicides","homicides for theft or robbery","homicides of mafia","terrorist homicides","attempted homicides","infanticides","manslaughter","unintentional homicides","homicides from road accident","blows","culpable injuries","menaces","kidnappings","offences","rapes","sexual activity with a minor","corruption of a minor","exploitation and abetting prostitution","child pornography and possession of paedo-pornographic materials","thefts","bag-snatching","pickpocketing","burglary","shoplifting","theft from vehicle","theft of art objets","theft of cargo trucks carrying freights","moped theft","motorcycle theft","car theft","robberies","house robbery","bank robbery","post office robbery","shop robbery","street robbery","extortions","swindles and cyber frauds","cybercrime","counteractions of goods and industrial products","intellectual property violations","receiving stolen goods","money laundering","usury","damages","arson","forest arson","damage followed by arson","trafficking and drugs possession","attacks","criminal association","mafia criminal association","smuggling","other crimes"
"Abruzzo",0,0.013909495548962,0.00463649851632,0,0,0.030137240356083,0,0,0.081138724035608,0.055637982195846,0.598108308605341,3.09718100890208,3.93638724035608,0.039410237388724,1.04553041543027,0.157640949554896,0.018545994065282,0.00231824925816,0.055637982195846,0.013909495548962,49.320752967359,0.363965133531157,2.74712537091988,9.09912833827893,4.66199925816024,4.96105341246291,0.034773738872404,0.09968471810089,0.574925816023739,0.512333086053412,3.75092729970326,0.771977002967359,0.120548961424332,0.013909495548962,0.032455489614243,0.180823442136499,0.257325667655786,0.431194362017804,7.16570845697329,0.649109792284866,0.29441765578635,0.020864243323442,0.78356824925816,0.037091988130564,0.025500741839763,10.5781713649852,0.29209940652819,0.088093471810089,0.261962166172107,1.37240356083086,0.018545994065282,0.027818991097923,0,0,18.8589577151335
"Basilicata",0,0.007369196757553,0,0,0,0.058953574060428,0,0,0.23581429624171,0.132645541635962,1.12011790714812,4.22991893883567,6.54384672070744,0.073691967575534,1.38540899042004,0.228445099484156,0.014738393515107,0,0.073691967575534,0.029476787030214,31.584377302874,0.154753131908622,1.62859248341931,5.44583640383198,1.82756079587325,2.55711127487104,0.007369196757553,0.110537951363301,0.154753131908622,0.132645541635962,2.91820191599116,0.49373618275608,0.088430361090641,0.007369196757553,0,0.073691967575534,0.169491525423729,0.75165806927045,8.99778924097273,0.361090641120118,0.250552689756816,0.198968312453943,1.00957995578482,0.081061164333088,0.029476787030214,12.7487103905674,1.00221075902727,0.552689756816507,0.456890198968312,1.51805453205601,0.02210759027266,0.058953574060428,0.007369196757553,0,26.4259395725866
"Calabria",0,0.03434908484224,0,0.011449694947413,0,0.106318595940265,0,0.007490075649764,0.116132620180905,0.060519816150613,0.888169193777908,3.13558074488444,6.07488100495608,0.062155486857386,1.43121186842665,0.140667680782505,0.02944207272192,0.006542682827093,0.053977133323519,0.016356707067733,39.5079902514026,0.397467981745915,1.32162193107284,5.332286504081,1.99878960367699,4.12352585177552,0.006542682827093,0.053977133323519,0.363118896903675,0.672260660483831,5.99146179891064,0.714788098859938,0.109589937353812,0.017992377774507,0.03434908484224,0.112861278767359,0.253528959549863,0.641182917055138,7.16096635425356,0.278064020151463,0.26170731308373,0.053977133323519,1.00266614325204,0.065426828270933,0.035984755549013,11.0342345878928,1.90555637339091,1.47373930680275,1.5015457088179,1.76652436331518,0.037620426255786,0.067062498977706,0.02944207272192,0,21.8378396061305
"Campania",0.001796259290029,0.036823315445585,0.000449064822507,0.01571726878775,0,0.067808788198577,0.0023355754858,0.009342301943199,0.062869075150998,0.03592518580057,0.593663695354424,3.03118755192312,3.91315086332712,0.055234973168377,0.902171228416822,0.137862900509689,0.021106046657835,0.003592518580057,0.038170509913106,0.016166333610257,50.1955677302019,1.32069964299347,4.03305117093653,4.7555964703505,2.65262590654961,5.19253654264993,0.019758852190314,0.057031232458405,0.944832386554999,3.04196510766329,10.3240002694389,3.55524619978894,0.114062464916811,0.020207917012821,0.022453241125357,0.207467947998294,2.56775265509576,0.586927723016817,8.17567415856479,0.286503356759548,0.669106585535622,0.127983474414532,1.18193861283876,0.10642836293419,0.021555111480342,4.59123874531289,0.557289444731347,0.305813144127355,0.271684217616813,1.34629633787637,0.026943889350428,0.049397130475784,0.013921009497721,0.125289085479489,19.2271594404652
"Emilia-Romagna",0.000435483168576,0.012193528720115,0.000435483168576,0,0,0.021774158428777,0,0.005506607929515,0.059661194094848,0.046161215869007,0.511257239907678,2.27104472412141,2.39602839350259,0.035274136654618,0.409354178461002,0.172886817924487,0.01175804555154,0.009580629708662,0.049209598049035,0.017419326743021,60.2865479249227,0.580063580542612,9.09027566084571,10.5325959151679,4.91834690589209,7.91882593737752,0.016983843574446,0.028741889125985,0.441144449767017,0.421983190349693,1.24504637895745,0.938466228280277,0.089274049557985,0.023951574271654,0.013499978225842,0.142838479292775,0.493837913164656,0.353176849714759,5.23233027043505,0.337499455646039,0.168096503070156,0.007403213865784,0.75382136480425,0.037016069328921,0.038322518834647,8.61995383878413,0.121064320863999,0.022209641597352,0.147193310978531,1.13530462047642,0.009580629708662,0.01654836040587,0.000435483168576,0.001741932674302,15.8167486826634
"Friuli-Venezia Giulia",0,0.019689468946895,0.002812781278128,0,0,0.036566156615662,0,0,0.104072907290729,0.084383438343834,0.601935193519352,2.80434293429343,2.66089108910891,0.056255625562556,0.458483348334833,0.278465346534653,0.030940594059406,0.005625562556256,0.02531503150315,0.019689468946895,49.3896264626463,0.255963096309631,5.89840234023402,9.33280828082808,5.35834833483348,5.1980198019802,0.02531503150315,0.002812781278128,0.309405940594059,0.615999099909991,0.928217821782178,0.621624662466247,0.09000900090009,0,0.016876687668767,0.171579657965797,0.210958595859586,0.374099909990999,9.94880738073807,0.495049504950495,0.208145814581458,0.042191719171917,0.860711071107111,0.053442844284429,0.011251125112511,8.80681818181818,0.225022502250225,0.059068406840684,0.11532403240324,1.42326732673267,0.014063906390639,0.028127812781278,0,0,20.2801530153015
"Lazio",0.000361984398472,0.012307469548063,0.000361984398472,0,0,0.04922987819225,0,0,0.064795207326564,0.044886065410581,0.358364554487702,2.17118242203761,2.34964073048452,0.038370346238077,0.494108703914861,0.154567338147726,0.020271126314456,0.004705797180142,0.029682720674739,0.022081048306818,58.6501601780963,0.718901015366238,9.46589202005394,6.05780890843605,3.50690485240086,8.51966480244701,0.016289297931259,0.028234783080849,0.619717290184793,2.31633816582505,6.36983945991928,1.3364463991602,0.103527537963114,0.018823188720566,0.01339342274348,0.260990751298619,0.67003312157246,0.331939693399214,5.1644314130061,0.401802682304393,0.449584622902753,0.049953846989195,0.765597002769181,0.050315831387667,0.012669453946535,8.08130169589691,0.287777596785578,0.136830102622577,0.187869902807189,2.06294908689435,0.011221516352645,0.026424861088487,0,0.002895875187779,16.3569890137735
"Liguria",0,0.008761170492378,0,0,0,0.035044681969511,0,0,0.043805852461889,0.03003829883101,0.436806928834264,2.34799369195725,2.22909209241783,0.033793086184886,0.367969160679867,0.172720218278305,0.01627074520013,0.005006383138502,0.041302660892638,0.027535107261759,47.5306015169341,0.520663846404165,4.32426343588075,7.87378908107837,4.32426343588075,4.34428896843475,0.018773936769381,0.006257978923127,0.550702145235175,2.40056071491151,1.05885003379309,0.961225562592305,0.087611704923778,0.015019149415505,0.002503191569251,0.158952664647425,0.548198953665924,0.381736714310746,7.29179704122757,1.91494155047686,0.779744173821623,0.031289894615635,1.2716213171794,0.131417557385667,0.007509574707752,15.3946281508924,0.389246289018499,0.272847881048337,0.158952664647425,1.74597611955243,0.013767553630879,0.017522340984756,0.001251595784625,0.057573406092768,16.1530951963754
"Lombardia",0.000420880735026,0.007786293597983,0.000420880735026,0,0,0.029672091819341,0,0.001386193512614,0.043771596442716,0.034512220272142,0.572818680370543,2.19615567536627,2.39207565752093,0.027778128511724,0.482118881972415,0.184135321573926,0.017045669768558,0.007365412862957,0.027778128511724,0.018308311973636,57.8014453044441,0.597019322634545,7.64319414807426,10.209935310631,4.47459353443015,8.96728494046642,0.013678623888349,0.030092972554367,0.441503891042395,0.926779378527507,3.38977343990034,1.24959490229254,0.100169614936216,0.021464917486332,0.010942899110679,0.185397963779004,0.671094331999141,0.284725817245167,5.34813149997685,0.332285340303118,0.141626367336288,0.009048935803061,0.613012790565537,0.042929834972664,0.009680256905601,11.4976199194434,0.156988514164741,0.03030341292188,0.159724238942411,1.14332251669844,0.005681889922853,0.011363779845705,0.000420880735026,0.003787926615235,15.181168112392
"Marche",0,0.004249261690781,0,0,0,0.012747785072344,0,0.035314891112419,0.10410691142414,0.080735972124843,0.556653281492341,2.75989546816241,3.1019610342703,0.044617247753203,0.594896636709372,0.155098051713515,0.023370939299297,0,0.065863556207109,0.023370939299297,52.8629400641639,0.233709392992967,3.52901183419381,11.1139439522383,4.19402128880107,7.55093802451824,0.029744831835469,0.061614294516328,0.548154758110778,0.229460131302186,1.75706970913804,0.611893683472497,0.106231542269531,0.027620200990078,0.027620200990078,0.082860602970234,0.201839930312108,0.420676907387341,6.84556058384856,0.62464146854484,0.388807444706482,0.021246308453906,1.10480803960312,0.101982280578749,0.027620200990078,9.08279686404487,0.189092145239765,0.004249261690781,0.17209509847664,1.9929037329764,0.012747785072344,0.038243355217031,0,0,18.0487390315933
