Subject;Name of the Institution;Province
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/138761;Monumento a Cesare Battisti sul Doss;Trento
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139195;Parco archeologico del Colosseo - Aula Isiaca con Loggia Mattei;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139195;Parco archeologico del Colosseo - Aula Isiaca con Loggia Mattei;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139195;Parco archeologico del Colosseo - Aula Isiaca con Loggia Mattei;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139195;Parco archeologico del Colosseo - Aula Isiaca con Loggia Mattei;Roma
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/143478;Chiesa Santa Maria Extra Moenia;Rieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/144043;Santa Maria di Vescovio;Rieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100912;Centro di Ateneo - Orto botanico dell'Università  di Padova ;Padova
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136272;Archivio di Stato dell'Aquila. Sezione di Avezzano ;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136273;Archivio di Stato dell'Aquila. Sezione di Sulmona;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136277;Archivio di Stato di Matera ;Matera
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136281;Archivio di Stato di Reggio Calabria. Sezione di Locri ;Reggio di Calabria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136283;Archivio di Stato di Reggio Calabria. Sezione di Palmi;Reggio di Calabria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136474;Antico Palazzo Comunale - Pinacoteca Matteo Olivero e Torre Civica;Cuneo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136472;Casa Museo di Silvio Pellico;Cuneo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/129628;Museo dell'Istituto centrale per la grafica;Roma
